Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
QycVkEhm,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Defensores Unidos,Almirante Brown,2.15,2.9,3.9,3.1,1.36,2.5,1.5
46rwLggD,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Deportivo Maipu,CA Estudiantes,2.45,2.9,3.2,3.1,1.36,2.38,1.53
vLYmwy9s,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Racing Cordoba,San Martin S.J.,2.88,2.8,2.75,2.7,1.44,2.2,1.62
IV7edGFJ,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,San Telmo,Aldosivi,2.05,3.1,3.9,2.7,1.44,2.38,1.53
nobRjfws,09/06/2024,15:10,ARGENTINA - PRIMERA NACIONAL,Deportivo Madryn,Colon Santa Fe,2.7,2.88,2.88,3.1,1.36,2.5,1.5
GQTCXWxJ,09/06/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Chaco For Ever,CA Mitre,2.1,2.8,4.2,3.4,1.33,2.63,1.44
j3vZLZw7,09/06/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Ferro,Talleres (R.E),1.73,3.6,4.75,2.4,1.53,2.38,1.53
YsYixeOm,09/06/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Patronato,Guillermo Brown,1.83,3.4,4.5,2.5,1.5,2.38,1.53
pSYiFRje,09/06/2024,11:00,ARGENTINA - TORNEO FEDERAL,Kimberley,Santamarina,1.6,3.4,5.8,2.32,1.47,2.32,1.47
dximZGI7,09/06/2024,11:00,ARGENTINA - TORNEO FEDERAL,Sportivo Belgrano,El Linqueno,1.78,3.05,5.1,2.67,1.36,2.45,1.42
Iohqzc31,09/06/2024,15:00,ARGENTINA - TORNEO FEDERAL,Douglas Haig,Gimnasia E.R.,1.35,4.15,9.0,2.15,1.55,2.67,1.36
SjOdEo61,09/06/2024,15:00,ARGENTINA - TORNEO FEDERAL,Olimpo Bahia Blanca,Circulo Deportivo,1.42,4.0,7.2,2.02,1.62,2.27,1.5
6yzlG7yk,09/06/2024,15:00,ARGENTINA - TORNEO FEDERAL,Sol de Mayo,Villa Mitre,3.25,3.1,2.18,2.32,1.47,2.05,1.62
OKvNVdU5,09/06/2024,15:30,ARGENTINA - TORNEO FEDERAL,Boca Unidos,Union Sunchales,1.83,3.2,4.35,2.37,1.45,2.18,1.53
tfS0D5L7,09/06/2024,15:30,ARGENTINA - TORNEO FEDERAL,Cipolletti,Deportivo Rincon,1.78,2.95,5.2,2.52,1.4,2.25,1.5
YVoAYbpm,09/06/2024,15:30,ARGENTINA - TORNEO FEDERAL,San Martin Formosa,Juventud Antoniana,1.5,3.6,6.9,2.37,1.45,2.52,1.4
IBeMls04,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Biblioteca Atenas,Argentino MM,2.57,2.77,2.95,2.67,1.36,2.18,1.53
6qpIWxFa,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Central Norte,Sol de America,1.6,3.35,5.9,2.55,1.39,2.55,1.39
bsVVc0e8,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Defensores Belgrano VR,Def. Pronunciamiento,1.47,3.85,6.7,2.12,1.57,2.32,1.47
vLdIkNpb,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Huracan Las Heras,San Martin Mendoza,2.45,2.67,3.25,3.3,1.24,2.62,1.37
x2VqHmMr,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Sansinena,Germinal,2.72,2.77,2.77,2.47,1.42,2.02,1.62
AHYZdKAE,09/06/2024,16:00,ARGENTINA - TORNEO FEDERAL,Sportivo Las Parejas,9 de Julio Rafaela,1.91,3.1,4.1,2.42,1.44,2.15,1.55
jLiTMQP7,09/06/2024,02:00,AUSTRALIA - NPL NSW,Rockdale Ilinden,WS Wanderers U23,1.55,4.7,4.3,1.26,3.15,1.35,2.7
CUhPN6A1,09/06/2024,02:00,AUSTRALIA - NPL NSW,Sydney Utd,Sydney Olympic,2.57,3.85,2.27,1.45,2.4,1.42,2.47
4KifyU2A,09/06/2024,03:00,AUSTRALIA - NPL QUEENSLAND,Brisbane City,Gold Coast Utd,2.42,3.85,2.42,1.39,2.57,1.37,2.65
nqckxAm4,09/06/2024,03:00,AUSTRALIA - NPL QUEENSLAND,Brisbane Roar U23,Redlands,1.72,4.25,3.6,1.33,2.8,1.37,2.65
6HTJQ7zI,09/06/2024,04:30,AUSTRALIA - NPL SOUTH AUSTRALIA,Adelaide United U23,Para,2.2,3.85,2.67,1.38,2.6,1.36,2.67
xCGur6eG,09/06/2024,02:00,AUSTRALIA - NPL VICTORIA,St Albans,Melbourne Knights,4.8,4.35,1.53,1.45,2.37,1.55,2.15
Ox2ZlJWj,09/06/2024,04:00,AUSTRALIA - NSW LEAGUE ONE,Bonnyrigg White Eagles,Blacktown Spartans,2.02,3.6,2.95,1.53,2.18,1.43,2.73
AeTZkmqp,09/06/2024,03:45,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,St. George Willawong,Mitchelton,1.08,8.25,25.0,1.15,5.0,1.7,1.93
WAHrlRDd,09/06/2024,05:15,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Broadbeach Utd.,Southside Eagles,1.35,5.5,5.8,1.24,3.3,1.35,2.7
Y7wLNXJ8,09/06/2024,02:00,AUSTRALIA - VICTORIA PREMIER LEAGUE,Eastern Lions,Melbourne Victory U21,4.3,4.35,1.6,1.4,2.5,1.47,2.32
OEFP4vBp,09/06/2024,16:00,BRAZIL - SERIE A,Criciuma,Cuiaba,2.05,3.25,3.8,2.88,1.4,2.38,1.53
j3Ueuhkd,09/06/2024,16:00,BRAZIL - SERIE B,Avai,Chapecoense-SC,1.8,3.5,4.75,2.4,1.53,2.25,1.57
x0QitYZk,09/06/2024,18:30,BRAZIL - SERIE B,America MG,Ponte Preta,1.42,4.1,8.5,2.0,1.85,2.25,1.57
4ztzSJz9,09/06/2024,16:30,BRAZIL - COPA DO NORDESTE,CRB,Fortaleza,3.1,2.9,2.25,2.25,1.62,1.91,1.8
YR1KHY45,09/06/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Cruzeiro W,Fluminense W,1.4,4.1,6.5,1.65,1.98,1.85,1.85
th5SFCZH,09/06/2024,17:00,BRAZIL - BRASILEIRO WOMEN,Bragantino W,Botafogo RJ W,1.6,3.7,4.7,1.85,1.78,1.91,1.8
fy3GIEka,09/06/2024,17:00,BRAZIL - BRASILEIRO WOMEN,Internacional W,Atletico-MG W,1.25,4.85,9.5,1.55,2.15,1.91,1.8
zZnFKzLn,09/06/2024,18:30,BRAZIL - BRASILEIRO WOMEN,Palmeiras W,Corinthians W,4.0,3.7,1.7,1.5,2.35,1.5,2.4
dpBjMbuR,09/06/2024,14:30,CANADA - CANADIAN PREMIER LEAGUE,Valour,Atl. Ottawa,3.4,3.35,2.1,2.05,1.75,1.83,1.88
2RmJHImr,09/06/2024,19:00,CANADA - CANADIAN PREMIER LEAGUE,York Utd,Vancouver FC,2.3,3.45,2.9,1.7,2.12,1.55,2.3
0feAJkNH,09/06/2024,08:00,DENMARK - ELITEDIVISIONEN WOMEN,Nordsjaelland W,KoldingQ W,1.16,5.6,14.5,1.65,1.98,2.7,1.4
hWvesxcS,09/06/2024,06:00,EUROPE - BALTIC CUP U21,Finland U21,Lithuania U21,1.53,3.9,5.0,1.65,2.2,1.73,2.0
p6ymqbSF,09/06/2024,11:00,EUROPE - BALTIC CUP U21,Estonia U21,Latvia U21,2.8,3.2,2.2,2.0,1.85,1.73,2.0
vw2oGQ9l,09/06/2024,13:30,FINLAND - YKKONEN,KuPS Akatemia,JJK Jyvaskyla,2.7,4.0,2.0,1.5,2.5,1.5,2.5
MwcC20aP,09/06/2024,15:00,GHANA - PREMIER LEAGUE,Hearts of Oak,Great Olympics,2.15,3.15,3.05,2.18,1.53,1.94,1.82
trfsu2V1,09/06/2024,11:00,HUNGARY - NB III,Bekescsaba 1912,Tatabanya,1.53,4.2,4.55,1.45,2.48,1.53,2.43
AgK2npwS,09/06/2024,11:00,HUNGARY - NB III,Szentlorinc,Putnok,1.72,3.45,4.25,1.65,2.0,1.64,2.2
UcLhQXEM,09/06/2024,13:00,ICELAND - ICELANDIC CUP,Keflavik,Valur,4.85,4.3,1.53,1.42,2.45,1.5,2.25
Eu8dAXYq,09/06/2024,12:30,ITALY - SERIE C,Carrarese,L.R. Vicenza,2.18,2.92,3.6,2.62,1.44,2.18,1.6
4h1djh7c,09/06/2024,02:00,JAPAN - J2 LEAGUE,Montedio Yamagata,Oita Trinita,2.2,3.2,3.3,2.08,1.73,1.83,1.83
x6a4lWyA,09/06/2024,07:00,JAPAN - J2 LEAGUE,Okayama,Kagoshima Utd,1.8,3.5,4.5,1.88,1.98,1.8,1.91
46IvTh4E,09/06/2024,11:00,NIGERIA - NPFL,Lobi Stars,Remo Stars,2.18,3.1,3.25,2.32,1.47,2.05,1.6
f9znNNXh,09/06/2024,12:00,NIGERIA - NPFL,Heartland,Doma United,2.67,3.25,2.45,2.07,1.6,1.93,1.7
UiYK8OIa,09/06/2024,12:00,NIGERIA - NPFL,Rivers United,Shooting,1.55,3.8,5.4,1.93,1.7,2.02,1.62
ld5oPq3t,09/06/2024,13:00,NIGERIA - NPFL,Enugu Rangers,Enyimba,2.57,2.8,2.92,2.82,1.32,2.32,1.47
MmbUxxdn,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Aalesund,Kongsvinger,3.5,3.8,1.95,1.44,2.7,1.44,2.63
QLSaNdda,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Bryne,Asane,1.48,4.5,6.0,1.48,2.6,1.57,2.25
4CR3MGB5,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Mjondalen,Ranheim,2.6,3.5,2.5,1.57,2.35,1.5,2.5
A9UBKftI,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Sogndal,Egersund,1.9,4.0,3.5,1.44,2.7,1.44,2.63
WOIKIYAU,09/06/2024,12:00,NORWAY - OBOS-LIGAEN,Start,Lyn,2.6,3.6,2.5,1.57,2.35,1.5,2.5
rcaQwItt,09/06/2024,14:00,NORWAY - OBOS-LIGAEN,Valerenga,Moss,1.48,4.5,5.75,1.5,2.5,1.62,2.2
8byDWd26,09/06/2024,04:00,PHILIPPINES - PFL,United City,Tuloy,1.02,16.0,31.0,1.03,10.0,2.35,1.56
2LzHVGHC,09/06/2024,06:30,PHILIPPINES - PFL,Cebu FC,Davao Aguilas,1.33,5.25,5.75,1.33,3.25,1.56,2.28
tCZKUzXI,09/06/2024,06:45,PHILIPPINES - PFL,Maharlika,Loyola,5.0,5.5,1.36,1.25,3.75,1.48,2.47
ITI3gK9J,09/06/2024,09:30,PHILIPPINES - PFL,Kaya,Mendiola FC 1991,1.01,21.0,26.0,1.02,11.0,2.88,1.39
l2YCt6o4,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,Gdansk W,Stomilanki Olsztyn W,1.87,3.9,3.15,1.39,2.67,1.36,2.88
dSyLvpGG,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,Rekord Bielsko-Biala W,Pogon Szczecin W,10.5,6.0,1.18,1.24,3.48,1.6,2.2
ABZ8snWc,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,Slask Wroclaw W,Czarni Sosnowiec W,3.85,3.85,1.7,1.57,2.12,1.57,2.25
viRPw4VM,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,Tczew W,Medyk Konin W,2.2,3.85,2.52,1.37,2.75,1.36,2.88
rPXGuQ0A,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,UJ Krakow W,Leczna W,2.07,3.85,2.75,1.44,2.51,1.36,2.88
hzu4rSGi,09/06/2024,12:00,POLAND - EKSTRALIGA WOMEN,UKS SMS Lodz W,GKS Katowice W,2.72,3.5,2.18,1.62,2.05,1.5,2.4
b5HKtJLF,09/06/2024,16:00,SPAIN - LALIGA2,Gijon,Espanyol,2.6,3.1,2.88,2.35,1.57,2.0,1.73
SOsZ70YF,09/06/2024,14:45,SPAIN - PRIMERA RFEF,Gimnastic,Ceuta,2.01,3.32,3.95,2.39,1.58,2.08,1.71
K8sunJBd,09/06/2024,15:15,SPAIN - PRIMERA RFEF,Cordoba,Ponferradina,1.86,3.38,4.59,2.46,1.55,2.19,1.64
OAmZvJL7,09/06/2024,07:00,SPAIN - LIGA F WOMEN,Costa Adeje Tenerife W,Eibar W,1.7,3.45,4.4,1.87,1.78,1.83,1.83
MoiIr1Mr,09/06/2024,07:00,SPAIN - LIGA F WOMEN,Madrid C. W,Real Sociedad W,1.65,4.0,3.95,1.39,2.84,1.36,2.8
jLeMsLyk,09/06/2024,13:30,SPAIN - LIGA F WOMEN,Real Madrid W,Athletic Bilbao W,1.28,5.0,7.7,1.42,2.57,1.73,2.0
CzpVua61,09/06/2024,15:30,SPAIN - LIGA F WOMEN,Barcelona W,Betis W,1.01,12.0,28.0,1.05,8.5,5.2,1.13
Kx5jmsER,09/06/2024,15:30,SPAIN - LIGA F WOMEN,Granada CF W,Levante W,4.25,4.05,1.6,1.52,2.2,1.57,2.25
xEFolNbL,09/06/2024,15:30,SPAIN - LIGA F WOMEN,Las Planas W,Valencia W,1.88,3.5,3.4,1.65,2.0,1.6,2.2
UBfQtuie,09/06/2024,15:30,SPAIN - LIGA F WOMEN,Sevilla FC W,Atl. Madrid W,4.25,3.95,1.6,1.57,2.12,1.57,2.25
xEyH32b8,09/06/2024,15:30,SPAIN - LIGA F WOMEN,Villarreal W,Huelva W,1.57,3.75,4.8,1.87,1.78,1.91,1.8
Mi6G02HF,09/06/2024,09:00,SWEDEN - ALLSVENSKAN WOMEN,Pitea W,Vittsjo W,1.47,4.0,5.7,1.8,1.83,1.95,1.73
8UFMvLfd,09/06/2024,10:00,SWEDEN - ALLSVENSKAN WOMEN,Kristianstad W,Hacken W,3.6,3.35,1.88,1.62,2.02,1.53,2.3
zejZ3Xr4,09/06/2024,12:30,URUGUAY - PRIMERA DIVISION,Cerro Largo,Danubio,2.2,2.9,3.3,2.7,1.44,2.2,1.62
WMqr2BDG,09/06/2024,15:00,URUGUAY - PRIMERA DIVISION,Progreso,River Plate,1.85,3.4,3.75,1.9,1.9,1.8,1.91
296Fq3ck,09/06/2024,18:00,URUGUAY - PRIMERA DIVISION,CA Cerro,Nacional,5.0,3.9,1.57,2.0,1.8,2.0,1.73
xlGjQzJu,09/06/2024,00:00,USA - USL CHAMPIONSHIP,Phoenix Rising,Orange County SC,1.75,3.45,4.25,2.07,1.7,1.98,1.75
pEJbOEmh,09/06/2024,20:00,USA - USL CHAMPIONSHIP,Birmingham,Indy Eleven,2.05,3.55,3.05,1.75,2.0,1.65,2.1
raSaRTtg,09/06/2024,20:30,USA - USL LEAGUE ONE CUP,Tormenta,Greenville,2.32,3.45,2.57,1.62,2.05,1.54,2.41
Iy7EcUhU,09/06/2024,19:00,USA - NWSL WOMEN,Kansas City Current W,Seattle Reign W,1.41,4.25,6.57,1.72,2.03,1.85,1.85
EkB57G8C,09/06/2024,12:00,WORLD - FRIENDLY INTERNATIONAL,Latvia U19,Estonia U19,2.26,3.37,3.03,1.95,1.85,1.7,2.08
QXYbI8n6,09/06/2024,15:45,WORLD - FRIENDLY INTERNATIONAL,Italy,Bosnia & Herzegovina,1.18,6.5,9.5,1.62,2.25,2.5,1.5
Kl1zC2Xi,09/06/2024,15:45,WORLD - FRIENDLY INTERNATIONAL,Montenegro,Georgia,2.63,3.1,2.55,2.25,1.62,1.91,1.8
MuY0oRcP,09/06/2024,15:45,WORLD - FRIENDLY INTERNATIONAL,Slovakia,Wales,2.1,3.0,3.4,2.5,1.5,2.2,1.62
bVppWEal,09/06/2024,16:15,WORLD - FRIENDLY INTERNATIONAL,France,Canada,1.2,6.5,12.0,1.4,2.88,1.91,1.8
WGOzBkQ1,09/06/2024,20:00,WORLD - FRIENDLY INTERNATIONAL,Argentina,Ecuador,1.5,3.7,6.25,2.1,1.7,2.25,1.57
4CR2imKr,09/06/2024,09:00,WORLD - MAURICE REVELLO TOURNAMENT,Ivory Coast U20,Mexico U23,3.0,3.45,2.15,1.62,2.02,1.53,2.18
QRFBkRle,09/06/2024,12:30,WORLD - MAURICE REVELLO TOURNAMENT,France U20,Saudi Arabia U23,1.82,3.6,3.85,1.65,1.98,1.6,2.05
